ranking,requested_coverage,n,actual_coverage,selective_accuracy
decision_margin,1.0,41,1.0,0.9512195121951219
decision_margin,0.9,36,0.8780487804878049,0.9444444444444444
decision_margin,0.8,32,0.7804878048780488,0.9375
decision_margin,0.7,28,0.6829268292682927,0.9285714285714286
decision_margin,0.6,24,0.5853658536585366,0.9583333333333334
decision_margin,0.5,20,0.4878048780487805,1.0
total_epistemic,1.0,41,1.0,0.9512195121951219
total_epistemic,0.9,36,0.8780487804878049,0.9444444444444444
total_epistemic,0.8,32,0.7804878048780488,0.96875
total_epistemic,0.7,28,0.6829268292682927,0.9642857142857143
total_epistemic,0.6,24,0.5853658536585366,1.0
total_epistemic,0.5,20,0.4878048780487805,1.0
