P5-05 architecture=dual_view device=cuda members=5
complete architecture=dual_view fold=0 member=0
complete architecture=dual_view fold=0 member=1
complete architecture=dual_view fold=0 member=2
complete architecture=dual_view fold=0 member=3
complete architecture=dual_view fold=0 member=4
complete architecture=dual_view fold=1 member=0
complete architecture=dual_view fold=1 member=1
complete architecture=dual_view fold=1 member=2
complete architecture=dual_view fold=1 member=3
complete architecture=dual_view fold=1 member=4
complete architecture=dual_view fold=2 member=0
complete architecture=dual_view fold=2 member=1
complete architecture=dual_view fold=2 member=2
complete architecture=dual_view fold=2 member=3
complete architecture=dual_view fold=2 member=4
complete architecture=dual_view fold=3 member=0
complete architecture=dual_view fold=3 member=1
complete architecture=dual_view fold=3 member=2
complete architecture=dual_view fold=3 member=3
complete architecture=dual_view fold=3 member=4
complete architecture=dual_view fold=4 member=0
complete architecture=dual_view fold=4 member=1
complete architecture=dual_view fold=4 member=2
complete architecture=dual_view fold=4 member=3
complete architecture=dual_view fold=4 member=4
complete architecture=dual_view test member=0
complete architecture=dual_view test member=1
complete architecture=dual_view test member=2
complete architecture=dual_view test member=3
complete architecture=dual_view test member=4
P5-05 dual_view complete records=260
P5-05 worker complete: dual_view
